股票代码,股票简称,公告日期,营业收入,营业收入同比增长,营业收入季度环比,净利润,净利润同比增长,净利润季度环比,每股收益,每股净资产,净资产收益率,销售毛利率,每股经营现金流量
688711,宏微科技,2022-04-30 00:00:00,139993013.88,34.1736550445,-22.5247,12218710.2,-26.13,-45.112,0.12,9.023165439805,1.39,21.1199881984,-0.037205061918
688682,霍莱沃,2022-04-30 00:00:00,54337775.03,21.0999272819,-68.612,2809556.86,-35.31,-93.0481,0.08,16.479658429189,0.46,39.6268378087,-1.278633465676
688679,通源环境,2022-04-30 00:00:00,209960508.36,53.2819456407,-32.9187,-1359392.08,-29.9771459185,-106.6212,-0.01,8.175045525019,-0.13,17.23794176,-0.381138534285
688676,金盘科技,2022-04-30 00:00:00,919476096.53,62.1704567154,-9.4312,41962720.44,-11.97,-37.4996,0.1,5.900192457552,1.69,18.240697876,-0.605650904816
688659,元琛科技,2022-04-30 00:00:00,113359326.35,44.2658960224,-27.6781,4835032.14,-42.7,-83.0013,0.03,4.133161572187,0.73,25.0826984206,-0.188407564938
688639,华恒生物,2022-04-30 00:00:00,270406890.76,63.807997238,-18.7822,55226359.0,77.68,-16.5195,0.51,11.507377592989,4.56,38.9589710432,0.630027795664
688618,三旺通信,2022-04-30 00:00:00,54530853.66,40.4839723215,-33.4447,8548177.59,48.09,-53.5464,0.17,14.279522648807,1.19,58.124851112,-0.109362751112
688590,新致软件,2022-04-30 00:00:00,253944852.2,0.4823083055,-43.7942,3613170.24,-67.13,-96.1513,0.02,6.366238879493,0.31,29.9391305047,-1.37050417828
688585,上纬新材,2022-04-30 00:00:00,488638160.65,13.6845719602,-15.281,19182926.34,231.5512022685,2.3824,0.05,2.651283975198,1.81,11.2341472813,-0.162985081126
688579,山大地纬,2022-04-30 00:00:00,32156606.47,-4.4326325018,-91.5284,-8360376.19,-18.9179246811,-110.4883,-0.0209,3.170210047549,-0.66,74.5430625348,-0.127839556686
688567,孚能科技,2022-04-30 00:00:00,1529411639.65,317.0867281018,-0.373,-244124835.22,-38.5544648809,54.1571,-0.23,8.524092174301,-2.67,6.808312519,-0.438737073302
688557,兰剑智能,2022-04-30 00:00:00,117786787.91,123.1304851988,-66.2727,-1164135.61,-112.28,-101.5636,-0.02,12.757583753543,-0.13,23.7692358598,-2.151080972478
688555,泽达易盛,2022-04-30 00:00:00,3355879.86,-90.6817959153,-97.125,-19019291.21,-298.64,-293.0069,-0.23,10.03435925003,-2.25,32.2273250271,-0.263943589219
688533,上声电子,2022-04-30 00:00:00,368313049.65,17.4744493006,-4.295,12528042.23,-42.26,-23.3482,0.08,6.51965026825,1.21,20.0195089178,0.148876787062
688518,联赢激光,2022-04-30 00:00:00,371441024.55,62.7831225078,-23.2235,14921071.91,16.86,-58.1532,0.05,5.140678767246,0.97,38.4374515532,-0.096936149164
688505,复旦张江,2022-04-30 00:00:00,140805956.0,11.5706023138,-68.1578,4925903.0,-3.74,-94.7974,0.0,2.104324767018,0.22,92.4431754861,-0.016497967402
688501,青达环保,2022-04-30 00:00:00,27504184.62,34.6204244175,-92.0277,-5854928.13,-8.043076689,-113.3309,-0.06,7.945789013521,-0.78,42.8383406117,-0.772959237668
688500,慧辰股份,2022-04-30 00:00:00,94178144.65,22.8584647196,-35.3078,-2538509.38,-124.6302211755,95.7848,-0.034,15.857095637521,-0.266,33.2575761355,-0.508894008321
688425,铁建重工,2022-04-30 00:00:00,2135935578.4,14.6694457654,-8.5242,376880384.69,10.38,-14.8775,0.07,2.727893531625,2.62,31.3655201784,-0.115034681231
688398,赛特新材,2022-04-30 00:00:00,150417944.86,-8.1953962405,-13.4525,10817410.26,-66.28,-26.4168,0.14,11.50995975125,1.18,26.6288070597,-0.373141374125
688366,昊海生科,2022-04-30 00:00:00,473617820.88,23.7940759519,-3.7735,60941331.7,-37.17,46.0014,0.35,31.944452896991,1.08,67.0153649561,0.025428897448
688360,德马科技,2022-04-30 00:00:00,311636131.57,57.3975958164,-30.7655,16776944.48,5620.25,-4.3332,0.2,11.110583670577,1.78,23.4825943453,-0.375327948067
688329,艾隆科技,2022-04-30 00:00:00,43109552.26,7.9102274885,-76.3067,-393057.54,-106.67,-100.7028,-0.01,10.408161670078,-0.05,52.8409275109,0.080813324223
688328,深科达,2022-04-30 00:00:00,164535638.06,-20.19465376,-17.6821,5557093.22,-73.61,-69.2554,0.07,9.504645519126,0.73,37.7519645242,-0.531915088845
688323,瑞华泰,2022-04-30 00:00:00,80787848.89,0.6638308228,3.9631,12281757.37,-27.23,4.6559,0.07,4.968039328,1.38,40.4430664746,0.081021064278
688321,微芯生物,2022-04-30 00:00:00,104479337.72,38.7422300034,-32.114,-3731829.11,49.1841449293,-108.0752,-0.0092,3.465513002468,-0.26,93.1810743871,0.028708362427
688305,科德数控,2022-04-30 00:00:00,60734688.47,20.6493162502,-34.5471,7528941.21,-41.33,-71.3053,0.083,9.039333540454,0.92,42.3564018653,0.140350501984
688269,凯立新材,2022-04-30 00:00:00,313763533.45,-2.2572344348,-14.2903,55584727.42,91.45,52.8844,0.6,9.61276952078,6.39,27.6258258781,0.043126845758
688230,芯导科技,2022-04-30 00:00:00,86567180.93,-29.9183093951,-19.4622,29908629.54,2.71,32.168,0.5,35.292721582667,1.42,35.6444874126,0.066767010833
